source_en,target,lang,n_keys,projects,status,date_added,alt_targets
Sync now,Jetzt synchronisieren,de,3,Nimbus,approved,2026-01-12,
Settings,Einstellungen,de,7,Nimbus,approved,2026-01-12,
New folder,Neuer Ordner,de,2,Nimbus,approved,2026-02-03,
Delete this note?,Diese Notiz löschen?,de,1,Nimbus,approved,2026-02-03,
Pin to top,Oben anheften,de,2,Nimbus,approved,2026-02-18,
Archive note,Notiz archivieren,de,1,Nimbus,approved,2026-02-18,
Create your first note,Erstellen Sie Ihre erste Notiz,de,1,Nimbus,approved,2026-03-01,
Save,Speichern,de,12,Nimbus,approved,2026-01-12,
Cancel,Abbrechen,de,14,Nimbus,approved,2026-01-12,
Done,Fertig,de,9,Nimbus,approved,2026-01-12,Erledigt
Search notes,Notizen durchsuchen,de,3,Nimbus,approved,2026-02-03,
Add reminder,Erinnerung hinzufügen,de,4,Nimbus,approved,2026-02-18,
Edit note,Notiz bearbeiten,de,2,Nimbus,approved,2026-03-01,
Focus Mode,Fokusmodus,de,5,Nimbus,approved,2026-01-20,
Notes synced,Notizen synchronisiert,de,2,Nimbus,approved,2026-03-10,
