source_en,target,lang,n_keys,projects,status,date_added,alt_targets
Sync now,Sincronizar agora,pt-BR,3,Nimbus,approved,2026-01-12,
Settings,Configurações,pt-BR,7,Nimbus,approved,2026-01-12,
New folder,Nova pasta,pt-BR,2,Nimbus,approved,2026-02-03,
Delete this note?,Excluir esta nota?,pt-BR,1,Nimbus,approved,2026-02-03,
Pin to top,Fixar no topo,pt-BR,2,Nimbus,approved,2026-02-18,
Archive note,Arquivar nota,pt-BR,1,Nimbus,approved,2026-02-18,
Create your first note,Crie sua primeira nota,pt-BR,1,Nimbus,approved,2026-03-01,
Save,Salvar,pt-BR,12,Nimbus,approved,2026-01-12,
Cancel,Cancelar,pt-BR,14,Nimbus,approved,2026-01-12,
Done,Concluído,pt-BR,9,Nimbus,approved,2026-01-12,Pronto
Search notes,Buscar notas,pt-BR,3,Nimbus,approved,2026-02-03,
Add reminder,Adicionar lembrete,pt-BR,4,Nimbus,approved,2026-02-18,
Edit note,Editar nota,pt-BR,2,Nimbus,approved,2026-03-01,
Focus Mode,Modo Foco,pt-BR,5,Nimbus,approved,2026-01-20,
Notes synced,Notas sincronizadas,pt-BR,2,Nimbus,approved,2026-03-10,
